episode,episode_durations_dqn_aux,episode_durations_dqn_rnd
942,100,150
943,93,86
944,158,146
945,87,113
946,191,145
947,157,179
948,88,152
949,153,100
950,156,146
951,106,89
952,154,87
953,159,90
954,104,158
955,86,170
956,192,162
957,93,95
958,164,143
959,157,154
960,200,88
961,200,159
962,174,155
963,163,93
964,84,169
965,200,150
966,179,184
967,200,183
968,200,161
969,199,100
970,197,153
971,112,95
972,183,147
973,160,160
974,163,90
975,166,150
976,162,89
977,156,151
978,159,153
979,156,197
980,151,176
981,156,170
982,181,153
983,168,172
984,169,155
985,162,164
986,154,92
987,173,156
988,164,150
989,92,152
990,155,152
991,156,170
992,175,97
993,160,154
994,178,187
995,161,151
996,92,152
997,167,150
998,161,97
999,154,168
1000,159,200
1001,158,164
1002,164,168
1003,88,159
1004,84,151
1005,173,200
1006,171,156
1007,189,152
1008,156,88
1009,163,154
1010,156,157
1011,96,173
1012,95,163
1013,156,160
1014,102,151
1015,161,200
1016,160,154
1017,164,200
1018,158,157
1019,164,200
1020,167,167
1021,171,89
1022,169,155
1023,93,148
1024,164,163
1025,164,152
1026,156,154
1027,162,161
1028,167,161
1029,85,154
1030,159,166
1031,164,178
1032,170,151
1033,163,152
1034,158,154
1035,164,152
1036,183,120
1037,151,152
1038,196,88
1039,103,159
1040,157,154
1041,155,154
1042,200,152
1043,192,200
1044,153,176
1045,93,88
1046,174,173
1047,167,148
1048,151,153
1049,151,97
1050,181,164
1051,157,147
1052,151,154
1053,185,154
1054,153,171
1055,162,153
1056,152,154
1057,158,152
1058,153,157
1059,166,86
1060,158,200
1061,149,168
1062,104,100
1063,154,175
1064,105,152
1065,149,86
1066,159,154
1067,158,156
1068,94,156
1069,188,163
1070,158,169
1071,165,151
1072,157,98
1073,99,102
1074,154,149
1075,153,151
1076,158,154
1077,162,83
1078,157,92
1079,113,153
1080,91,164
1081,156,146
1082,90,87
1083,158,159
1084,161,89
1085,143,148
1086,153,151
1087,158,150
1088,162,93
1089,186,104
1090,104,158
1091,193,152
1092,178,88
1093,194,103
1094,176,146
1095,95,150
1096,157,88
1097,155,152
1098,118,160
1099,158,152
1100,167,148
1101,198,94
1102,154,146
1103,86,159
1104,172,149
1105,172,150
1106,200,152
1107,174,86
1108,143,147
1109,158,154
1110,168,116
1111,198,161
1112,153,95
1113,89,156
1114,184,152
1115,160,158
1116,175,113
1117,168,145
1118,180,167
1119,200,107
1120,161,97
1121,200,151
1122,199,85
1123,92,159
1124,174,150
1125,195,162
1126,101,184
1127,160,153
1128,200,170
1129,88,170
1130,200,151
1131,155,170
1132,158,151
1133,171,92
1134,150,152
1135,157,161
1136,160,159
1137,167,159
1138,189,87
1139,157,106
1140,86,157
1141,99,162
1142,165,191
1143,88,159
1144,98,156
1145,161,85
1146,160,86
1147,157,157
1148,169,93
1149,95,185
1150,200,95
1151,160,110
1152,95,150
1153,200,163
1154,161,155
1155,173,110
1156,92,96
1157,178,157
1158,155,157
1159,168,154
1160,91,152
1161,158,200
1162,161,161
1163,187,154
1164,113,149
1165,97,87
1166,152,100
1167,175,101
1168,160,85
1169,155,156
1170,161,157
1171,98,159
1172,91,159
1173,156,83
1174,88,163
1175,159,154
1176,173,88
1177,176,200
1178,92,93
1179,154,156
1180,96,95
1181,159,151
1182,154,135
